account,month,strict_eligible,calls,observed_days,first_day,last_day,uncached,cached,output,reasoning,standard_usd,standard_eur,write_upper_eur,unpriced_calls,historically_uncertain_price_calls,unknown_tier_calls
A01,2026-07,0,702,7,2026-07-06,2026-07-29,3993726,78667904,300830,72325,68.327482,59.80409966541005,62.982746049011425,0,0,702
A01,2026-07,1,61761,12,2026-07-02,2026-07-31,258792419,7563979648,26458128,8112371,5870.904181,5146.016153801756,5368.396667105919,0,0,61761
A01,2026-08,0,5268,5,2026-08-03,2026-08-28,19234122,721631744,2452000,930381,451.2514744,388.4006050231575,406.0251380341491,0,0,5268
A01,2026-08,1,109638,17,2026-08-02,2026-08-28,483033823,14098600960,44713917,14049949,9280.5351914,7985.0241672421125,8446.148553120309,0,0,109638
A01,2026-09,0,2603,3,2026-09-02,2026-09-06,8544496,325132928,1029928,358234,186.5993382,161.03382250955778,168.44849071771336,1,1,2603
A01,2026-09,1,82722,4,2026-09-01,2026-09-06,254797859,10694253184,33012525,11240175,6697.134342920001,5773.108941373533,6021.658161878409,251,251,82722
A02,2026-07,0,581,4,2026-07-10,2026-07-30,2130237,68654592,251637,90169,52.527591,45.93547143057449,48.264590737220345,0,0,581
A02,2026-07,1,33871,9,2026-07-02,2026-07-30,145403157,4438532096,15640305,4603958,3443.002179,3004.8120584468966,3147.2870687516806,0,0,33871
A02,2026-08,0,22675,10,2026-08-01,2026-08-30,69101404,3069560192,9102638,3059506,1835.3226526,1582.3841976358428,1646.0537619886695,0,0,22675
A02,2026-08,1,198990,13,2026-08-01,2026-08-30,801229957,26179874688,88593046,27549805,17652.3461364,15230.475489180468,16019.616706632904,0,0,198990
A02,2026-09,0,514,3,2026-09-03,2026-09-06,2000839,64053376,191052,64164,73.6714376,63.39653265873287,67.13910558768521,0,0,514
A02,2026-09,1,32483,4,2026-09-02,2026-09-06,93515877,4238336128,11996628,4242532,3438.56206572,2960.895894710917,3086.072918752487,0,0,32483
A03,2026-06,1,2240,1,2026-06-30,2026-06-30,11478182,256276992,881957,109644,211.988116,186.05241004037214,186.05241004037214,0,0,2240
A03,2026-07,0,2912,4,2026-07-03,2026-07-20,11859926,345551616,1108955,327304,265.344088,232.21318086289023,244.80177452423635,0,0,2912
A03,2026-07,1,40461,12,2026-07-01,2026-07-31,157782605,4772226816,15733141,5040958,3647.5469675,3191.717697978586,3323.4919413389607,0,0,40461
A03,2026-08,0,8077,6,2026-08-04,2026-08-28,30103603,1100491520,3702640,1211711,643.6770684,552.2275169453912,578.0978653482366,0,0,8077
A03,2026-08,1,105585,26,2026-08-02,2026-08-31,388075589,13543070464,44626582,14300880,8524.89758092,7334.517379569906,7663.825627371266,0,0,105585
A03,2026-09,0,544,3,2026-09-01,2026-09-06,1758836,74442368,190477,80655,40.8527922,35.283079102746264,36.61819991441923,2,2,544
A03,2026-09,1,21740,3,2026-09-01,2026-09-06,75395979,2804030976,8463016,2903480,1598.6980472,1380.2575293907655,1442.6821897033603,2,2,21740
A04,2026-07,0,845,6,2026-07-07,2026-07-31,4409196,103698560,297836,94398,82.83034,72.36450424505051,75.91622500227055,0,0,845
A04,2026-07,1,57145,12,2026-07-06,2026-07-31,235448384,7153136896,25024763,7928359,5508.534281,4809.466147750891,5042.044271995024,0,0,57145
A04,2026-08,0,355,1,2026-08-04,2026-08-04,1379398,37903872,128988,38011,29.718566,25.80856795484151,27.30596048632219,0,0,355
A04,2026-08,1,24567,2,2026-08-03,2026-08-04,93661081,3365014528,11251887,3054320,2488.369279,2159.2798442532035,2260.872781457386,0,0,24567
A04,2026-09,0,657,1,2026-09-05,2026-09-05,3197157,83061376,165782,39629,69.0017544,59.37166959215282,63.403590948201696,0,0,657
A04,2026-09,1,22855,2,2026-09-04,2026-09-05,72940806,3059377408,7088745,2319769,2559.72948344,2202.486218757529,2301.9745458526936,0,0,22855
A05,2026-06,0,5,1,2026-06-30,2026-06-30,19994,955264,1359,0,0.618372,0.5427172195892576,0.5427172195892576,0,0,5
A05,2026-06,1,541,1,2026-06-30,2026-06-30,2459711,86978432,128956,10758,59.656451,52.35777690012287,52.35777690012287,0,0,541
A05,2026-07,0,1762,5,2026-07-01,2026-07-21,7983287,209590400,734249,248563,166.739105,146.02736793891947,154.4732207431235,0,0,1762
A05,2026-07,1,51769,8,2026-07-01,2026-07-21,201104750,6253041536,22512066,7538514,4812.949276,4212.756453493495,4414.849863193209,0,0,51769
