account,credit,last_present,expires_at,latest_expiry,granted_at,first_absent,before_used,before_reset,after_used,after_reset,before_count,after_count,disappeared_before_expiry,direct_guardian_action,first_positive_new_window,positive_reset,first_positive_used,evidence_grade
A01,C002,1786475721.1449802,2026-08-11T21:08:33.778745Z,2026-08-11T21:08:33.778745Z,2026-07-12T21:08:33.778745Z,1786475727.3509815,5,1787011236,0,1787080526,2,1,1,1,1786506309.397012,1787080785,1,direct_guardian_redemption
A01,C003,1786550420.066987,2026-08-12T17:46:38.300998Z,2026-08-12T17:46:38.300998Z,2026-07-13T17:46:38.300998Z,1786550426.3790026,42,1787080786,0,1787155225,1,0,1,1,1786678214.9349957,1787199206,1,direct_guardian_redemption
A01,C008,1788356717.536001,2026-09-21T00:07:47.259633Z,2026-09-21T00:07:47.259633Z,2026-08-22T00:07:47.259633Z,1788357620.5799863,100,1788854380,0,1788962248,1,0,1,0,1788358508.8460193,1788962248,4,credit_loss_and_new_window
A01,C015,1788513317.8049996,2026-10-04T02:21:16.821014Z,2026-10-04T02:21:16.821014Z,2026-09-04T02:21:16.821014Z,1788514212.5649824,100,1788962248,0,1789119011,1,0,1,0,1788523221.5509996,1789120572,1,credit_loss_and_new_window
A01,C021,1788677119.0950081,2026-10-05T04:19:22.558543Z,2026-10-05T04:19:22.558543Z,2026-09-05T04:19:22.558543Z,1788678007.5929852,100,1789120572,6,1789282051,1,0,1,0,1788678007.5929852,1789282051,6,credit_loss_and_new_window
A02,C006,1786550449.1060166,2026-08-12T17:59:55.951355Z,2026-08-12T17:59:55.951355Z,2026-07-13T17:59:55.951355Z,1786550453.9090083,100,1787011221,0,1787155253,1,0,1,1,1786555481.9179864,1787159673,1,direct_guardian_redemption
A02,C012,1788115520.406005,2026-09-21T00:18:36.115323Z,2026-09-21T00:18:36.115323Z,2026-08-22T00:18:36.115323Z,1788116421.7389956,100,1788643293,0,1788721095,1,0,1,0,1788117335.3840098,1788721095,1,credit_loss_and_new_window
A02,C018,1788515124.7490108,2026-10-04T02:34:10.366394Z,2026-10-04T02:34:10.366394Z,2026-09-04T02:34:10.366394Z,1788516043.6149983,100,1788770655,0,1789120843,1,0,1,0,1788609635.5650053,1789121523,4,credit_loss_and_new_window
A02,C027,1788639333.3519816,2026-10-05T04:20:17.703435Z,2026-10-05T04:20:17.703435Z,2026-09-05T04:20:17.703435Z,1788640229.5290158,100,1789121523,0,1789244828,1,0,1,0,1788641135.329011,1789244828,2,credit_loss_and_new_window
A03,C001,1786549521.8059971,2026-08-12T17:33:12.251363Z,2026-08-12T17:33:12.251363Z,2026-07-13T17:33:12.251363Z,1786549528.6760063,36,1787047528,36,1787047528,1,0,1,1,1786551780.7609944,1787154332,1,direct_guardian_redemption
