account,segment,start_at,last_at,reset,reset_spread,min_used,max_used,observations,max_gap_seconds,end_at,start_used,previous_reset,delta_pp,credit,bank_evidence,transition_grade,start_utc,end_utc,model,effort,dominant_usd,dominant_value_share,strict_value_share,strict_usd,fixed_usd,strict_calls,strict_sessions,uncached,cached,output,reasoning,long_context_calls,unpriced_calls,uncertain_price_calls,different_reset_calls,missing_reset_calls,interior_usd,enclosing_usd,consumption_max_gap_seconds
A01,1,1783277567.033025,1783287745.439188,1783602693,0,100.0,100.0,2,10178.406162977219,1783277567.033025,100.0,,0.0,,,left_censored,2026-07-05 18:52:47,2026-07-05 18:52:47,,,,,,,,,,,,,,,,,,,,,
A01,2,1783336979.344509,1783336979.344509,1783936442,0,16.0,16.0,1,,1783336979.344509,16.0,1783602693,0.0,,,unexplained_early_replacement,2026-07-06 11:22:59,2026-07-06 11:22:59,,,,,,,,,,,,,,,,,,,,,
A01,3,1783701365.724911,1783702312.201356,1784245391,0,80.0,80.0,2,946.4764449596405,1783701365.724911,80.0,1783936442,0.0,,,unexplained_early_replacement,2026-07-10 16:36:05,2026-07-10 16:36:05,,,,,,,,,,,,,,,,,,,,,
A01,4,1783773052.213846,1783794144.246352,1784354546,1,49.0,74.0,9,15604.600939035416,1783793997.977692,49.0,1784245391,25.0,,,unexplained_early_replacement,2026-07-11 12:30:52,2026-07-11 18:19:57,gpt-5.6-sol,max,177.717971,0.936837106510876,0.9856618291827828,189.69997,149.12486280000002,2125,25,8211852,246055040,853773,306785,0,0,0,0,0,189.69997,189.69997,15604.600939035416
A01,5,1784600189.837547,1784631665.798049,1784990599,0,100.0,100.0,63,16617.029685020447,1784600189.837547,100.0,1784354546,0.0,,,ordinary_expiry_compatible,2026-07-21 02:16:29,2026-07-21 02:16:29,,,,,,,,,,,,,,,,,,,,,
A01,6,1785540047.010157,1785554973.907507,1785902985,0,100.0,100.0,51,4869.9601628780365,1785540047.010157,100.0,1784990599,0.0,,,ordinary_expiry_compatible,2026-07-31 23:20:47,2026-07-31 23:20:47,,,,,,,,,,,,,,,,,,,,,
A01,7,1785837899.762383,1786017171.779107,1786175178,2,31.0,33.0,403,48912.975367069244,1786001353.819879,31.0,1785902985,2.0,,,unexplained_early_replacement,2026-08-04 10:04:59,2026-08-06 07:29:13,gpt-5.6-sol,max,106.782623,1.0,1.0,106.782623,84.9574264,498,5,15080243,55732736,117168,21158,0,0,0,0,0,106.562951,106.782623,48912.975367069244
A01,8,1786390054.994008,1786405522.81448,1786826606,1,5.0,7.0,43,907.9840440750122,1786402812.895431,5.0,1786175178,2.0,,,ordinary_expiry_compatible,2026-08-10 19:27:34,2026-08-10 23:00:12,gpt-5.6-sol,max,6.811222,1.0,1.0,6.811222,5.4267896,27,3,1118300,2106624,5547,281,0,0,0,0,0,6.055194,8.018354,907.9840440750122
A01,9,1786408209.144676,1786475721.14545,1787011236,1,1.0,5.0,81,916.0514240264893,1786444215.537026,1.0,1786826606,4.0,,,unexplained_early_replacement,2026-08-11 00:30:09,2026-08-11 10:30:15,gpt-5.6-sol,max,25.379143,1.0,1.0,25.379143,20.2248304,102,3,3863293,10948096,19621,811,0,0,0,0,0,25.379143,26.162522,912.9950740337372
A01,10,1786506309.397449,1786550420.066971,1787080785,1,1.0,42.0,63,913.2420918941498,1786536013.768648,1.0,1787011236,41.0,C002,direct_guardian_redemption,direct_guardian_redemption,2026-08-12 03:45:09,2026-08-12 12:00:13,gpt-5.6-sol,max,15.972352,1.0,1.0,15.972352,12.707505600000001,82,3,2147492,9414144,17594,3032,0,0,0,0,0,15.972352,15.972352,910.2469489574432
