interval_id,account,duration,hour_bin,reset,reset_spread,start_at,end_at,start_used,end_used,delta_pp,observations,distinct_times,max_gap_seconds,smallest_step_pp,has_capture_time_proxy,recovery_observations,timing_eligible
1,A01,18000,495371,1783349642,0,1783336979.344509,1783336979.344509,100.0,100.0,0.0,1,1,,,0,1,0
2,A01,18000,495472,1783714860,0,1783701365.724911,1783702312.201356,100.0,100.0,0.0,2,2,946.4764449596405,0.0,0,2,0
3,A01,18000,495492,1783786018,0,1783773052.213846,1783773456.875902,100.0,100.0,0.0,2,2,404.6620559692383,0.0,0,2,0
4,A01,18000,495493,1783786018,0,1783774979.545257,1783775588.076559,100.0,100.0,0.0,3,3,304.3114449977875,0.0,0,3,0
5,A01,18000,495497,1783805702,0,1783791192.677498,1783791497.581654,100.0,100.0,0.0,2,2,304.90415596961975,0.0,0,2,0
6,A01,18000,495498,1783805702,0,1783793997.977692,1783794144.246352,100.0,100.0,0.0,2,2,146.26866006851196,0.0,0,2,0
7,A01,604800,495354,1783602693,0,1783277567.033025,1783277567.033025,100.0,100.0,0.0,1,1,,,0,1,0
8,A01,604800,495357,1783602693,0,1783287745.439188,1783287745.439188,100.0,100.0,0.0,1,1,,,0,1,0
9,A01,604800,495371,1783936442,0,1783336979.344509,1783336979.344509,16.0,16.0,0.0,1,1,,,0,1,0
10,A01,604800,495472,1784245391,0,1783701365.724911,1783702312.201356,80.0,80.0,0.0,2,2,946.4764449596405,0.0,0,2,0
11,A01,604800,495492,1784354546,1,1783773052.213846,1783773456.875902,49.0,49.0,0.0,2,2,404.6620559692383,0.0,0,2,0
12,A01,604800,495493,1784354546,1,1783774979.545257,1783775588.076559,49.0,49.0,0.0,3,3,304.3114449977875,0.0,0,3,0
13,A01,604800,495497,1784354546,1,1783791192.677498,1783791497.581654,72.0,73.0,1.0,2,2,304.90415596961975,1.0,0,2,0
14,A01,604800,495498,1784354546,1,1783793997.977692,1783794144.246352,74.0,74.0,0.0,2,2,146.26866006851196,0.0,0,2,0
15,A01,604800,495722,1784990599,0,1784600189.837547,1784602592.893262,100.0,100.0,0.0,11,11,313.34092593193054,0.0,0,11,0
16,A01,604800,495723,1784990599,0,1784602908.181019,1784606243.767259,100.0,100.0,0.0,15,15,314.93121886253357,0.0,0,15,0
17,A01,604800,495724,1784990599,0,1784606558.40277,1784609894.777695,100.0,100.0,0.0,16,16,314.520427942276,0.0,0,16,0
