account,segment,day,fixed_per_pp,grade,model,effort,points,transition_grade
A01,11,2026-08-14,19.99402863838384,1,gpt-5.6-sol,max,99.0,direct_guardian_redemption
A01,12,2026-08-23,20.227548460606062,2,gpt-5.6-sol,max,99.0,ordinary_expiry_compatible
A01,14,2026-08-28,17.77732831111111,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A01,16,2026-09-02,17.494745096969698,4,gpt-5.6-sol,max,99.0,credit_loss_and_new_window
A01,17,2026-09-04,19.555376465454547,4,gpt-5.6-sol,max,99.0,credit_loss_and_new_window
A02,9,2026-08-11,20.08921932244898,5,gpt-5.6-sol,max,98.0,unexplained_early_replacement
A02,11,2026-08-13,19.698102529292928,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A02,12,2026-08-20,19.587822491489362,2,gpt-5.6-sol,max,94.0,ordinary_expiry_compatible
A02,16,2026-08-29,19.79031426060606,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A02,18,2026-08-31,15.31066526868687,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A02,20,2026-09-05,7.722341323232324,4,gpt-6-astra,high,99.0,credit_loss_and_new_window
A03,17,2026-08-27,18.401150137373737,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A04,8,2026-09-05,9.620022964444445,4,gpt-6-astra,high,99.0,credit_loss_and_new_window
A05,9,2026-08-11,19.288105713131312,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A05,10,2026-08-16,19.548735256565656,1,gpt-5.6-sol,max,99.0,direct_guardian_redemption
A05,12,2026-08-24,19.465617372929295,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A05,14,2026-08-28,18.876736145454544,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A05,16,2026-08-31,19.501930212121213,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A05,17,2026-09-03,14.235654109090909,4,gpt-5.6-sol,max,99.0,credit_loss_and_new_window
A05,19,2026-09-05,10.33508728,4,gpt-6-astra,high,99.0,credit_loss_and_new_window
A07,8,2026-08-12,19.716388185858587,3,gpt-5.6-sol,max,99.0,post_manual_reset_origin_ambiguous
A07,12,2026-08-27,15.82812076969697,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A07,13,2026-09-01,18.216236541414144,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A08,9,2026-08-13,19.338701163636365,1,gpt-5.6-sol,max,99.0,direct_guardian_redemption
A08,10,2026-08-22,20.03840670707071,2,gpt-5.6-sol,max,99.0,ordinary_expiry_compatible
A08,11,2026-08-24,19.091984355555557,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A08,15,2026-08-30,19.467842917171716,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
A08,16,2026-08-31,19.351542016161616,5,gpt-5.6-sol,max,99.0,unexplained_early_replacement
