account,segment,strict_eligible,model,effort,calls,sessions,uncached,cached,output,reasoning,standard_usd,standard_eur,write_upper_eur,september6_reference_usd,unpriced_calls,different_reset_calls,missing_reset_calls
A01,4,0,gpt-5.6-sol,max,20,1,285191,2055424,10195,3955,2.7595169999999998,2.414275590551181,2.72616426071741,2.1668336,0,0,0
A01,4,1,gpt-5.5,medium,17,1,418456,3104128,5111,53,3.7976739999999998,3.3225494313210846,3.3225494313210846,3.7976739999999998,0,0,0
A01,4,1,gpt-5.6-sol,max,2017,23,7322373,232878592,822227,297740,177.717971,155.4837891513561,163.49163363954506,138.8854688,0,0,0
A01,4,1,gpt-5.6-sol,ultra,91,1,471023,10072320,26435,8992,8.184325,7.160389326334208,7.675506342957131,6.44172,0,0,0
A01,7,1,gpt-5.6-sol,max,498,5,15080243,55732736,117168,21158,106.782623,92.52200319992407,108.85325739471189,84.9574264,0,0,0
A01,8,1,gpt-5.6-sol,max,27,3,1118300,2106624,5547,281,6.811222,5.894610125486802,7.104367806144527,5.4267896,0,0,0
A01,9,1,gpt-5.6-sol,max,102,3,3863293,10948096,19621,811,25.379143,21.992324956672444,26.17700108318891,20.2248304,0,0,0
A01,10,1,gpt-5.6-sol,max,82,3,2147492,9414144,17594,3032,15.972352,13.834865309657859,16.1599974014725,12.707505600000001,0,0,0
A01,11,0,gpt-5.6-sol,max,216,1,852850,29356928,73516,16746,21.148194,18.2832143165903,19.20485562375724,16.6244912,0,0,0
A01,11,1,gpt-5.6-sol,max,23657,43,117013781,3242880128,10710083,3000517,2527.811459,2185.3647955390334,2311.8169665859773,1979.4088352,0,0,0
A01,12,0,gpt-5.6-sol,max,72,1,342051,7959936,40981,10004,5.3717984,4.591673134455937,4.8840494059321315,5.3717984,0,0,0
A01,12,1,gpt-5.6-sol,max,27691,104,88857477,3507537024,12204129,4526832,2002.5272976,1711.7080926574922,1787.661145909907,2002.5272976,0,0,0
A01,13,0,gpt-5.6-sol,max,2715,6,9510246,398518016,1041840,374191,218.2849904,187.06400754134887,195.21401696803497,218.2849904,0,0,0
A01,13,1,gpt-5.5,medium,373,2,2059836,61421440,83568,12659,43.51694,37.292775730568174,37.292775730568174,43.51694,0,0,0
A01,13,1,gpt-5.6-sol,max,22867,44,81409132,2833196928,9632353,3212524,1651.5623592,1415.3418109520953,1485.1071138915074,1651.5623592,0,0,0
A01,14,0,gpt-5.6-sol,max,678,2,4368801,95161344,408177,160816,63.703281600000004,54.71380365885082,58.46610203555785,63.703281600000004,0,0,0
A01,14,1,gpt-5.6-sol,max,24693,37,85974582,3128881536,8139552,2210741,1758.2419824,1510.127958773512,1583.9702519969082,1758.2419824,0,0,0
A01,14,1,gpt-5.6-terra,high,24,1,486229,3201792,8392,123,1.7135204,1.4717172550030062,1.680524692948553,1.7135204,0,0,0
A01,15,0,,,1,1,713,160512,543,111,,,,,1,0,0
A01,15,0,gpt-5.6-sol,max,1127,7,3928543,138206720,510867,188732,81.2142,70.14527552254276,73.53838573155986,81.2142,0,0,0
A01,15,0,gpt-5.6-sol,ultra,750,1,2431480,90777600,263667,87006,51.310300000000005,44.31706685092417,46.41715322162723,51.310300000000005,0,0,0
A01,15,1,,,251,1,839734,29237760,78999,28499,,,,,251,0,0
A01,15,1,gpt-5.5,medium,535,1,3409539,88182400,142002,17015,65.398955,56.447102006557614,56.447102006557614,65.398955,0,0,0
