account,segment,start_at,last_at,reset,reset_spread,min_used,max_used,observations,max_gap_seconds,end_at,start_used,previous_reset,delta_pp,credit,bank_evidence,transition_grade
A01,1,1783277567.033025,1783287745.439188,1783602693,0,100.0,100.0,2,10178.406162977219,1783277567.033025,100.0,,0.0,,,left_censored
A01,2,1783336979.344509,1783336979.344509,1783936442,0,16.0,16.0,1,,1783336979.344509,16.0,1783602693,0.0,,,unexplained_early_replacement
A01,3,1783701365.724911,1783702312.201356,1784245391,0,80.0,80.0,2,946.4764449596405,1783701365.724911,80.0,1783936442,0.0,,,unexplained_early_replacement
A01,4,1783773052.213846,1783794144.246352,1784354546,1,49.0,74.0,9,15604.600939035416,1783793997.977692,49.0,1784245391,25.0,,,unexplained_early_replacement
A01,5,1784600189.837547,1784631665.798049,1784990599,0,100.0,100.0,63,16617.029685020447,1784600189.837547,100.0,1784354546,0.0,,,ordinary_expiry_compatible
A01,6,1785540047.010157,1785554973.907507,1785902985,0,100.0,100.0,51,4869.9601628780365,1785540047.010157,100.0,1784990599,0.0,,,ordinary_expiry_compatible
A01,7,1785837899.762383,1786017171.779107,1786175178,2,31.0,33.0,403,48912.975367069244,1786001353.819879,31.0,1785902985,2.0,,,unexplained_early_replacement
A01,8,1786390054.994008,1786405522.81448,1786826606,1,5.0,7.0,43,907.9840440750122,1786402812.895431,5.0,1786175178,2.0,,,ordinary_expiry_compatible
A01,9,1786408209.144676,1786475721.14545,1787011236,1,1.0,5.0,81,916.0514240264893,1786444215.537026,1.0,1786826606,4.0,,,unexplained_early_replacement
A01,10,1786506309.397449,1786550420.066971,1787080785,1,1.0,42.0,63,913.2420918941498,1786536013.768648,1.0,1787011236,41.0,C002,direct_guardian_redemption,direct_guardian_redemption
A01,11,1786678214.935343,1787198411.908737,1787199206,2,1.0,100.0,657,926.789167881012,1786866310.666733,1.0,1787080785,99.0,C003,direct_guardian_redemption,direct_guardian_redemption
A01,12,1787469311.655743,1787531418.541633,1787873835,0,1.0,100.0,71,918.9136519432068,1787502625.046459,1.0,1787199206,99.0,,,ordinary_expiry_compatible
A01,13,1787736619.892877,1787847312.97499,1788284805,1,1.0,100.0,124,918.1292240619659,1787760022.41781,1.0,1787873835,99.0,,,unexplained_early_replacement
A01,14,1787877753.197754,1788038195.227204,1788453199,1,1.0,100.0,711,537.741644859314,1787908290.780954,1.0,1788284805,99.0,,,unexplained_early_replacement
A01,15,1788258455.881069,1788356717.536103,1788854380,1,1.0,100.0,431,642.5073730945587,1788339624.329917,1.0,1788453199,99.0,,,unexplained_early_replacement
A01,16,1788357782.75205,1788513317.805494,1788962248,1,1.0,100.0,686,595.7705261707306,1788382172.559826,1.0,1788854380,99.0,C008,credit_loss_and_new_window,credit_loss_and_new_window
A01,17,1788523221.550617,1788677119.095424,1789120572,1,1.0,100.0,714,1446.4519531726837,1788548073.21582,1.0,1788962248,99.0,C015,credit_loss_and_new_window,credit_loss_and_new_window
A01,18,1788677413.244293,1788725721.882262,1789282051,0,1.0,100.0,219,579.2764000892639,1788691681.788099,1.0,1789120572,99.0,C021,credit_loss_and_new_window,credit_loss_and_new_window
A02,1,1783277567.572058,1783332776.493622,1783421611,0,94.0,100.0,3,45027.63632798195,1783287748.857294,94.0,,6.0,,,left_censored
A02,2,1783701369.656181,1783702318.274743,1784264646,0,20.0,21.0,2,948.6185619831085,1783702318.274743,20.0,1783421611,1.0,,,ordinary_expiry_compatible
A02,3,1783773056.83325,1783791508.775302,1784370968,0,17.0,39.0,7,15607.36773610115,1783791508.775302,17.0,1784264646,22.0,,,unexplained_early_replacement
A02,4,1783794115.150264,1783794152.016861,1784396666,1,15.0,15.0,2,36.866596937179565,1783794115.150264,15.0,1784370968,0.0,,,unexplained_early_replacement
A02,5,1784600193.019188,1784631679.288081,1785095033,2,100.0,100.0,63,16625.26752090454,1784600193.019188,100.0,1784396666,0.0,,,ordinary_expiry_compatible
A02,6,1785540046.602899,1785554971.942442,1785902968,0,100.0,100.0,50,4865.07944893837,1785540046.602899,100.0,1785095033,0.0,,,ordinary_expiry_compatible
A02,7,1785696449.406166,1786017188.862253,1786160146,2,100.0,100.0,683,59535.87936091423,1785696449.406166,100.0,1785902968,0.0,,,unexplained_early_replacement
A02,8,1786390065.548458,1786405531.690328,1786988233,1,12.0,41.0,41,912.4684550762177,1786405531.690328,12.0,1786160146,29.0,,,ordinary_expiry_compatible
A02,9,1786407316.8679,1786550449.105569,1787011220,1,2.0,100.0,175,916.1578130722046,1786455626.343274,2.0,1786988233,98.0,,,unexplained_early_replacement
A02,10,1786555481.91775,1786591828.118063,1787159673,0,1.0,53.0,48,919.1115238666534,1786591828.118063,1.0,1787011220,52.0,C006,direct_guardian_redemption,direct_guardian_redemption
A02,11,1786592724.812867,1787196634.512599,1787196682,2,1.0,100.0,770,925.3857109546661,1786661119.227511,1.0,1787159673,99.0,,,unexplained_early_replacement
A02,12,1787228141.288494,1787531428.261561,1787802039,2,6.0,100.0,337,1807.2397031784058,1787409920.315916,6.0,1787196682,94.0,,,ordinary_expiry_compatible
A02,13,1787574624.986394,1787666421.551549,1788138608,1,1.0,100.0,103,1045.0271980762482,1787657432.055778,1.0,1787802039,99.0,,,unexplained_early_replacement
A02,14,1787688026.656936,1787847325.833731,1788273070,1,3.0,100.0,179,1535.9749040603638,1787707824.086525,3.0,1788138608,97.0,,,unexplained_early_replacement
A02,15,1788007137.096386,1788038346.700675,1788603980,1,1.0,51.0,140,363.088711977005,1788038346.700675,1.0,1788273070,50.0,,,unexplained_early_replacement
A02,16,1788038658.55491,1788116150.397546,1788643293,0,1.0,100.0,345,529.4205648899078,1788079519.393521,1.0,1788603980,99.0,,,unexplained_early_replacement
A02,17,1788117333.15162,1788143108.107445,1788721094,5,1.0,1.0,115,550.497416973114,1788117333.15162,1.0,1788643293,0.0,C012,credit_loss_and_new_window,credit_loss_and_new_window
A02,18,1788172227.635143,1788515688.253566,1788770655,4,1.0,100.0,1507,703.5143609046936,1788432656.375471,1.0,1788721094,99.0,,,unexplained_early_replacement
A02,19,1788609555.657253,1788639371.384558,1789121523,1,3.0,100.0,134,596.4318029880524,1788620091.212757,3.0,1788770655,97.0,C018,credit_loss_and_new_window,credit_loss_and_new_window
A02,20,1788641057.853053,1788725741.122621,1789244828,2,1.0,100.0,416,539.9273669719696,1788660868.641156,1.0,1789121523,99.0,C027,credit_loss_and_new_window,credit_loss_and_new_window
A03,1,1783272517.381193,1783332775.509347,1783389628,0,100.0,100.0,3,45028.04649090767,1783272517.381193,100.0,,0.0,,,left_censored
A03,2,1783701367.768149,1783702315.893998,1784251747,0,69.0,69.0,2,948.1258490085602,1783701367.768149,69.0,1783389628,0.0,,,ordinary_expiry_compatible
A03,3,1783773054.970782,1783775590.504146,1784354844,0,41.0,41.0,5,1522.753606081009,1783773054.970782,41.0,1784251747,0.0,,,unexplained_early_replacement
A03,4,1783791194.671721,1783791504.340768,1784380441,0,18.0,18.0,2,309.6690471172333,1783791194.671721,18.0,1784354844,0.0,,,unexplained_early_replacement
A03,5,1784600191.688308,1784631673.640047,1784949922,2,100.0,100.0,63,16622.33737897873,1784600191.688308,100.0,1784380441,0.0,,,ordinary_expiry_compatible
A03,6,1785540044.177162,1785548550.734772,1785904402,1,4.0,4.0,43,599.3480679988861,1785540044.177162,4.0,1784949922,0.0,,,ordinary_expiry_compatible
A03,7,1785696445.96556,1785927164.190764,1786202457,0,1.0,100.0,462,59524.87752079964,1785925659.536868,1.0,1785904402,99.0,,,unexplained_early_replacement
A03,8,1785976091.947654,1786017148.272748,1786528615,2,1.0,1.0,223,376.4213390350342,1785976091.947654,1.0,1786202457,0.0,,,unexplained_early_replacement
A03,9,1786390052.471788,1786405520.415317,1786829473,0,5.0,5.0,41,912.4639298915863,1786390052.471788,5.0,1786528615,0.0,,,unexplained_early_replacement
A03,10,1786455014.418708,1786549528.676238,1787047528,1,1.0,36.0,95,24302.221678972244,1786546134.451941,1.0,1786829473,35.0,,,unexplained_early_replacement
A03,11,1786551780.76103,1786591815.089519,1787154332,1,1.0,1.0,61,919.1027171611786,1786551780.76103,1.0,1787047528,0.0,C001,direct_guardian_redemption,direct_guardian_redemption
A03,12,1786632311.877686,1787201121.175934,1787201791,3,1.0,22.0,729,919.2405710220337,1787186720.758547,1.0,1787154332,21.0,,,unexplained_early_replacement
A03,13,1787221804.920546,1787531416.116609,1787822677,2,1.0,5.0,341,3612.6847360134125,1787500820.250655,1.0,1787201791,4.0,,,ordinary_expiry_compatible
A03,14,1787556610.256632,1787666404.678398,1788153392,1,1.0,40.0,123,1044.3217539787292,1787666404.678398,1.0,1787822677,39.0,,,unexplained_early_replacement
A03,15,1787668222.611797,1787751014.400262,1788271984,1,2.0,100.0,94,1528.714339017868,1787688011.490563,2.0,1788153392,98.0,,,unexplained_early_replacement
A03,16,1787757316.894771,1787847310.15991,1788356780,1,1.0,100.0,101,918.0887200832367,1787787908.698154,1.0,1788271984,99.0,C007,credit_loss_and_new_window,credit_loss_and_new_window
A03,17,1787859922.125446,1788038201.111243,1788455042,1,1.0,100.0,781,902.3352789878845,1787926155.266494,1.0,1788356780,99.0,,,unexplained_early_replacement
A03,18,1788096568.542655,1788143090.283616,1788643656,1,1.0,1.0,208,355.32998609542847,1788096568.542655,1.0,1788455042,0.0,,,unexplained_early_replacement
A03,19,1788161049.082847,1788725719.100816,1788765033,2,1.0,100.0,2268,60291.34813117981,1788357461.494438,1.0,1788643656,99.0,,,unexplained_early_replacement
A04,1,1783332774.217714,1783332774.217714,1783931249,0,16.0,16.0,1,,1783332774.217714,16.0,,0.0,,,left_censored
A04,2,1783701366.670836,1783702313.781968,1784238194,0,77.0,77.0,2,947.111132144928,1783701366.670836,77.0,1783931249,0.0,,,unexplained_early_replacement
A04,3,1783773053.443148,1783794147.33927,1784360377,1,19.0,65.0,9,15604.327167987823,1783794147.33927,19.0,1784238194,46.0,,,unexplained_early_replacement
A04,4,1784600230.131039,1784631669.795297,1785008440,2,100.0,100.0,63,16619.68235898018,1784600230.131039,100.0,1784360377,0.0,,,ordinary_expiry_compatible
A04,5,1785540047.403666,1785554974.474351,1785905164,0,100.0,100.0,51,4867.156384944916,1785540047.403666,100.0,1785008440,0.0,,,ordinary_expiry_compatible
A04,6,1785775033.523356,1785844080.672512,1786161061,0,1.0,100.0,42,59563.17149090767,1785837898.751598,1.0,1785905164,99.0,,,unexplained_early_replacement
A04,7,1788527506.214275,1788618887.400676,1789127933,1,1.0,100.0,408,355.78926610946655,1788609252.626671,1.0,1786161061,99.0,,,ordinary_expiry_compatible
A04,8,1788620102.009856,1788725731.616985,1789224528,0,1.0,100.0,508,584.0713958740234,1788632909.639645,1.0,1789127933,99.0,C024,credit_loss_and_new_window,credit_loss_and_new_window
A05,1,1783272516.508908,1783332774.824636,1783403889,0,100.0,100.0,3,45027.91649699211,1783272516.508908,100.0,,0.0,,,left_censored
A05,2,1783701367.176643,1783702314.662846,1784238127,0,53.0,53.0,2,947.4862031936646,1783701367.176643,53.0,1783403889,0.0,,,ordinary_expiry_compatible
A05,3,1783773054.302962,1783791502.626082,1784365290,0,25.0,50.0,7,15604.233829021454,1783791194.188416,25.0,1784238127,25.0,,,unexplained_early_replacement
A05,4,1784600191.301064,1784615050.641389,1784951303,1,100.0,100.0,62,318.74481201171875,1784600191.301064,100.0,1784365290,0.0,,,ordinary_expiry_compatible
A05,5,1784631815.872361,1784631815.872361,1785219963,0,100.0,100.0,1,,1784631815.872361,100.0,1784951303,0.0,,,unexplained_early_replacement
A05,6,1785540015.697479,1785554822.426887,1785904531,1,1.0,24.0,40,4988.04580783844,1785554822.426887,1.0,1785219963,23.0,,,ordinary_expiry_compatible
A05,7,1785887986.874308,1785926871.897884,1786160211,2,100.0,100.0,142,358.2511079311371,1785887986.874308,100.0,1785904531,0.0,,,unexplained_early_replacement
A05,8,1785976121.536583,1786017162.647152,1786532071,2,100.0,100.0,225,340.34073996543884,1785976121.536583,100.0,1786160211,0.0,,,unexplained_early_replacement
A05,9,1786455910.971288,1786551323.814291,1787037498,1,1.0,100.0,125,915.2554080486298,1786518017.002032,1.0,1786532071,99.0,,,unexplained_early_replacement
A05,10,1786878917.721858,1787388328.226133,1787388664,2,1.0,100.0,566,1812.4512560367584,1787065219.007098,1.0,1787037498,99.0,C004,direct_guardian_redemption,direct_guardian_redemption
A05,11,1787503524.72487,1787531423.884222,1788025868,1,1.0,57.0,31,1799.6437230110168,1787531423.884222,1.0,1787388664,56.0,,,ordinary_expiry_compatible
A05,12,1787533233.036872,1787666415.085114,1788137001,0,1.0,100.0,148,1794.0545840263367,1787571929.918839,1.0,1788025868,99.0,,,unexplained_early_replacement
A05,13,1787734830.389006,1787847320.092175,1788290348,0,1.0,100.0,94,29693.1465780735,1787842822.602931,1.0,1788137001,99.0,,,unexplained_early_replacement
A05,14,1787926524.269918,1788038198.85825,1788454655,1,1.0,100.0,497,532.9759800434113,1787960142.614776,1.0,1788290348,99.0,,,unexplained_early_replacement
A05,15,1788128385.26336,1788143353.020014,1788732573,0,1.0,26.0,67,346.19211292266846,1788143353.020014,1.0,1788454655,25.0,,,unexplained_early_replacement
A05,16,1788143962.507383,1788416408.727505,1788748169,1,1.0,100.0,1197,697.0472500324249,1788191055.305408,1.0,1788732573,99.0,,,unexplained_early_replacement
A05,17,1788421867.196192,1788513326.819679,1789021466,11,1.0,100.0,404,597.6559550762177,1788482853.448174,1.0,1788748169,99.0,C010,credit_loss_and_new_window,credit_loss_and_new_window
A05,18,1788523592.2822,1788639368.837146,1789123381,1,1.0,100.0,514,904.0380928516388,1788594747.1218,1.0,1789021466,99.0,C019,credit_loss_and_new_window,credit_loss_and_new_window
A05,19,1788641130.415064,1788725735.10342,1789245252,1,1.0,100.0,415,585.1805920600891,1788666613.542215,1.0,1789123381,99.0,C025,credit_loss_and_new_window,credit_loss_and_new_window
A06,1,1783701369.019409,1783702317.305157,1784299622,0,32.0,32.0,2,948.2857480049133,1783701369.019409,32.0,,0.0,,,left_censored
A06,2,1783773056.152348,1783794150.516199,1784369561,1,32.0,52.0,10,15603.962182998657,1783791195.805675,32.0,1784299622,20.0,,,unexplained_early_replacement
A06,3,1784600192.6758,1784631677.695159,1784962856,2,100.0,100.0,63,16624.187886953354,1784600192.6758,100.0,1784369561,0.0,,,ordinary_expiry_compatible
A06,4,1785540046.232875,1785554973.433697,1785903061,2,100.0,100.0,50,4868.771476984024,1785540046.232875,100.0,1784962856,0.0,,,ordinary_expiry_compatible
A06,5,1785696448.004014,1786017189.679935,1786162899,4,100.0,100.0,683,59535.61490106583,1785696448.004014,100.0,1785903061,0.0,,,unexplained_early_replacement
A06,6,1788481590.482048,1788531554.123212,1789046602,1,1.0,100.0,224,463.861310005188,1788523014.432207,1.0,1786162899,99.0,,,ordinary_expiry_compatible
