interval_id,account,duration,hour_bin,reset,reset_spread,start_at,end_at,start_used,end_used,delta_pp,observations,distinct_times,max_gap_seconds,smallest_step_pp,has_capture_time_proxy,recovery_observations,timing_eligible,start_utc,day,model,effort,dominant_usd,dominant_calls,dominant_sessions,dominant_value_share,strict_value_share,strict_calls,strict_usd,fixed_usd,uncached,cached,output,reasoning,long_context_calls,unpriced_calls,uncertain_price_calls,different_reset_calls,missing_reset_calls,interior_usd,enclosing_usd,segment,transition_grade,credit,primary_cohort
31,A01,604800,496083,1786175178,0,1785898909.627854,1785902273.684107,31.0,32.0,1.0,12,12,319.1093440055847,0.0,0,12,1,2026-08-05 03:01:49,2026-08-05,gpt-5.6-sol,max,3.467518,12,3,1.0,1.0,12,3.467518,2.7644624,524270,1549056,2388,97,0,0,0,0,0,3.467518,3.467518,7,unexplained_early_replacement,,0
46,A01,604800,496111,1786175178,0,1785999822.12793,1786003138.661655,32.0,33.0,1.0,20,20,319.9969780445099,0.0,0,20,1,2026-08-06 07:03:42,2026-08-06,gpt-5.6-sol,max,3.4509279999999998,14,3,1.0,1.0,14,3.4509279999999998,2.7460784,541572,1266176,3666,1260,0,0,0,0,0,2.688707,3.4509279999999998,7,unexplained_early_replacement,,0
52,A01,604800,496220,1786826606,1,1786392014.186504,1786395433.844835,5.0,6.0,1.0,16,16,720.357323884964,0.0,1,0,1,2026-08-10 20:00:14,2026-08-10,gpt-5.6-sol,max,1.430216,6,2,1.0,1.0,6,1.430216,1.1389648,232868,453632,1302,88,0,0,0,0,0,1.430216,2.134605,8,ordinary_expiry_compatible,,0
57,A01,604800,496225,1787011236,0,1786410014.749473,1786412704.700041,1.0,2.0,1.0,4,4,902.5663759708405,0.0,1,0,1,2026-08-11 01:00:14,2026-08-11,gpt-5.6-sol,max,2.480111,12,3,1.0,1.0,12,2.480111,1.9745968,364485,1172992,2373,177,0,0,0,0,0,2.480111,2.480111,9,unexplained_early_replacement,,0
59,A01,604800,496227,1787011236,0,1786417213.050452,1786419912.070518,2.0,3.0,1.0,4,4,902.893697977066,0.0,1,0,1,2026-08-11 03:00:13,2026-08-11,gpt-5.6-sol,max,2.386174,9,3,1.0,1.0,9,2.386174,1.9013672,383624,822528,1893,66,0,0,0,0,0,2.386174,2.386174,9,unexplained_early_replacement,,0
63,A01,604800,496231,1787011236,0,1786431610.262268,1786434324.788031,3.0,4.0,1.0,4,4,912.322037935257,0.0,1,0,1,2026-08-11 07:00:10,2026-08-11,gpt-5.6-sol,max,2.883606,12,3,1.0,1.0,12,2.883606,2.2977848,425804,1372672,2275,94,0,0,0,0,0,2.883606,2.883606,9,unexplained_early_replacement,,0
66,A01,604800,496234,1787011236,0,1786442408.745878,1786445114.584295,4.0,5.0,1.0,4,4,912.9950740337372,0.0,1,0,1,2026-08-11 10:00:08,2026-08-11,gpt-5.6-sol,max,2.2740460000000002,9,2,1.0,1.0,9,2.2740460000000002,1.8127368000000001,329936,1151232,1625,57,0,0,0,0,0,2.2740460000000002,2.2740460000000002,9,unexplained_early_replacement,,0
82,A01,604800,496257,1787080785,0,1786525215.93925,1786527919.731957,1.0,7.0,6.0,4,4,908.4783389568329,1.0,1,0,1,2026-08-12 09:00:15,2026-08-12,gpt-5.6-sol,max,1.921739,9,3,1.0,1.0,9,1.921739,1.5294192,270681,1017088,1993,207,0,0,0,0,0,1.921739,1.921739,10,direct_guardian_redemption,C002,1
83,A01,604800,496258,1787080785,1,1786528826.179957,1786531519.048008,9.0,25.0,16.0,4,4,905.2382709980011,4.0,1,0,1,2026-08-12 10:00:26,2026-08-12,gpt-5.6-sol,max,1.8298780000000001,14,2,1.0,1.0,14,1.8298780000000001,1.4544744,136000,2158336,2357,517,0,0,0,0,0,1.8298780000000001,1.8298780000000001,10,direct_guardian_redemption,C002,1
84,A01,604800,496259,1787080785,1,1786532408.61643,1786535124.539151,28.0,37.0,9.0,4,4,907.7618100643158,2.0,1,0,1,2026-08-12 11:00:08,2026-08-12,gpt-5.6-sol,max,2.57518,12,3,1.0,1.0,12,2.57518,2.049776,344092,1553920,2592,442,0,0,0,0,0,2.3446670000000003,3.46626,10,direct_guardian_redemption,C002,1
122,A01,604800,496331,1787199206,0,1786791603.999856,1786794310.513561,1.0,3.0,2.0,4,4,912.8144760131836,0.0,1,0,1,2026-08-15 11:00:04,2026-08-15,gpt-5.6-sol,max,64.398122,551,10,1.0,1.0,551,64.398122,50.5260976,3943370,74476544,248100,67745,0,0,0,0,0,60.008229,71.03622,11,direct_guardian_redemption,C003,0
123,A01,604800,496332,1787199206,0,1786795223.675734,1786797911.194243,5.0,11.0,6.0,4,4,904.4730398654938,2.0,1,0,1,2026-08-15 12:00:23,2026-08-15,gpt-5.6-sol,max,146.661424,1377,19,1.0,1.0,1377,146.661424,114.1237272,5800250,187239168,801353,236119,0,0,0,3,0,134.14044,159.741449,11,direct_guardian_redemption,C003,0
124,A01,604800,496333,1787199206,1,1786798810.63362,1786801505.567857,13.0,18.0,5.0,4,4,904.8697369098663,1.0,1,0,1,2026-08-15 13:00:10,2026-08-15,gpt-5.6-sol,max,124.685059,1139,16,1.0,1.0,1139,124.685059,97.7005032,6293267,155724288,511886,147434,0,0,0,0,0,113.349492,137.849704,11,direct_guardian_redemption,C003,1
126,A01,604800,496335,1787199206,0,1786806013.47038,1786808714.7754,24.0,29.0,5.0,4,4,910.4114220142365,1.0,1,0,1,2026-08-15 15:00:13,2026-08-15,gpt-5.6-sol,max,121.783591,1212,15,1.0,1.0,1212,121.783591,95.43631280000001,5799115,155717632,497640,146676,0,0,0,0,0,113.287016,131.512466,11,direct_guardian_redemption,C003,1
127,A01,604800,496336,1787199206,0,1786809613.910519,1786812315.298087,30.0,34.0,4.0,4,4,905.7451500892639,1.0,1,0,1,2026-08-15 16:00:13,2026-08-15,gpt-5.6-sol,max,102.982193,949,16,1.0,1.0,949,102.982193,80.6417064,4678005,133023616,436012,122640,0,0,0,0,0,96.574709,111.65033,11,direct_guardian_redemption,C003,0
128,A01,604800,496337,1787199206,0,1786813220.122215,1786815917.996657,34.0,38.0,4.0,4,4,910.2862000465393,1.0,1,0,1,2026-08-15 17:00:20,2026-08-15,gpt-5.6-sol,max,99.648294,869,13,1.0,1.0,869,99.648294,78.04726720000001,4985666,124369408,417842,124833,0,0,0,0,0,94.960177,106.030424,11,direct_guardian_redemption,C003,0
129,A01,604800,496338,1787199206,0,1786816824.579063,1786819515.233431,39.0,41.0,2.0,4,4,906.881185054779,0.0,1,0,1,2026-08-15 18:00:24,2026-08-15,gpt-5.6-sol,max,68.940245,616,11,1.0,1.0,616,68.940245,53.985864,3206679,88318720,291583,85212,0,0,0,0,0,64.42658,72.942339,11,direct_guardian_redemption,C003,0
130,A01,604800,496339,1787199206,0,1786820406.655724,1786823119.257355,42.0,45.0,3.0,4,4,910.1350519657135,1.0,1,0,1,2026-08-15 19:00:06,2026-08-15,gpt-5.6-sol,max,80.572007,714,12,1.0,1.0,714,80.572007,63.1911136,4022945,101917184,316623,85875,0,0,0,0,0,75.705293,85.957951,11,direct_guardian_redemption,C003,0
